,The University of Michigan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"Graduates by Campus, Field of Specialization, and Degree Level",,,,,,,,
1,2010-2011,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,Degrees,,,,,,,
5,,,,,,,Graduate-,Intermediate,Certificate of
6,,,Total,Bachelor,Master,Doctor,Professional,Professional,Candidacy
7,,,,,,,,,
8,Total,,15880,8657,4730,797,753,0,943
9,              Ann Arbor,,12857,6553,3811,797,753,0,943
10,              Dearborn,,1707,1183,524,0,0,0,0
11,              Flint,,1316,921,395,0,0,0,0
12,,,,,,,,,
13,The University of Michigan - Ann Arbor,,,,,,,,
14,Accounting,,,,,,,,
15,,Business Administration,70,0,70,0,0,0,0
16,Aerospace Engineering,,,,,,,,
17,,Engineering,124,124,0,0,0,0,0
18,,Rackham,103,0,69,13,0,0,21
19,Aerospace Science,,,,,,,,
20,,Rackham,3,0,3,0,0,0,0
21,Afroamerican and African Studies,,,,,,,,
22,,Literature Science & the Arts,12,12,0,0,0,0,0
23,American Culture,,,,,,,,
24,,Literature Science & the Arts,22,22,0,0,0,0,0
25,,Rackham,13,0,3,6,0,0,4
26,Ancient Civilizations and Biblical Studies,,,,,,,,
27,,Literature Science & the Arts,2,2,0,0,0,0,0
28,Anthropology,,,,,,,,
29,,Literature Science & the Arts,102,102,0,0,0,0,0
30,,Rackham,51,0,17,14,0,0,20
31,,,,,,,,,
32,Anthropology and History,,,,,,,,
33,,Rackham,9,0,0,2,0,0,7
34,Anthropology-Zoology,,,,,,,,
35,,Literature Science & the Arts,8,8,0,0,0,0,0
36,Applied and Interdisciplinary Mathematics,,,,,,,,
37,,Rackham,19,0,2,6,0,0,11
38,Applied Economics,,,,,,,,
39,,Rackham,39,0,39,0,0,0,0
40,Applied Physics,,,,,,,,
41,,Rackham,27,0,3,9,0,0,15
42,Applied Statistics,,,,,,,,
43,,Rackham,6,0,6,0,0,0,0
44,Arabic Studies,,,,,,,,
45,,Rackham,2,0,2,0,0,0,0
