,The University of Michigan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"Graduates by Campus, Field of Specialization, and Degree Level",,,,,,,,
1,2011-2012,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,Degrees,,,,,,
5,,,,,,,Graduate-,Intermediate,Certificate of
6,,,Total,Bachelor,Master,Doctor,Professional,Professional,Candidacy
7,,,,,,,,,
8,Total,,16094,8604,4847,857,709,8,1069
9,              Ann Arbor,,13219,6490,4086,857,709,8,1069
10,              Dearborn,,1751,1227,524,0,0,0,0
11,              Flint,,1124,887,237,0,0,0,0
12,,,,,,,,,
13,The University of Michigan - Ann Arbor,,,,,,,,
14,Accounting,,,,,,,,
15,,Business Administration,69,0,69,0,0,0,0
16,Acute Care Nursing,,,,,,,,
17,,Rackham,5,0,5,0,0,0,0
18,Administration of Nursing & Patient Care Services,,,,,,,,
19,,Rackham,1,0,1,0,0,0,0
20,Aerospace Engineering,,,,,,,,
21,,Engineering,144,144,0,0,0,0,0
22,,Rackham,108,0,67,20,0,0,21
23,Aerospace Science,,,,,,,,
24,,Rackham,2,0,1,1,0,0,0
25,African Studies,,,,,,,,
26,,Rackham,0,0,0,0,0,0,0
27,Afroamerican and African Studies,,,,,,,,
28,,Literature Science & the Arts,10,10,0,0,0,0,0
29,American Culture,,,,,,,,
30,,Literature Science & the Arts,25,25,0,0,0,0,0
31,,Rackham,23,0,5,11,0,0,7
32,Ancient Civilizations and Biblical Studies,,,,,,,,
33,,Literature Science & the Arts,4,4,0,0,0,0,0
34,Anthropology,,,,,,,,
35,,Literature Science & the Arts,78,78,0,0,0,0,0
36,,Rackham,46,0,14,21,0,0,11
37,Anthropology and History,,,,,,,,
38,,Rackham,12,0,3,4,0,0,5
39,Applied and Interdisciplinary Mathematics,,,,,,,,
40,,Rackham,10,0,1,6,0,0,3
41,Applied Economics,,,,,,,,
42,,Rackham,37,0,37,0,0,0,0
43,Applied Physics,,,,,,,,
44,,Rackham,25,0,3,10,0,0,12
45,Applied Statistics,,,,,,,,
46,,Rackham,18,0,18,0,0,0,0
47,Arabic Studies,,,,,,,,
48,,Rackham,1,0,1,0,0,0,0
49,"Arabic,Armenian,Persian,Turkish & Islamic Studies",,,,,,,,
50,,Literature Science & the Arts,23,23,0,0,0,0,0
51,Architecture,,,,,,,,
52,,Architecture & Urban Planning,166,105,61,0,0,0,0
53,,Rackham,17,0,11,2,0,0,4
54,Architecture Three Plus,,,,,,,,
55,,Architecture & Urban Planning,31,0,31,0,0,0,0
56,Archives and Records Management,,,,,,,,
57,,Graduate Information,35,0,35,0,0,0,0
58,Art,,,,,,,,
59,,Rackham,7,0,7,0,0,0,0
60,Art and Design,,,,,,,,
61,,Art and Design,96,96,0,0,0,0,0
62,Arts and Ideas,,,,,,,,
63,,Literature Science & the Arts,4,4,0,0,0,0,0
64,Asian Languages and Cultures,,,,,,,,
65,,Rackham,3,0,0,0,0,0,3
66,Asian Studies,,,,,,,,
67,,Literature Science & the Arts,47,47,0,0,0,0,0
68,,Rackham,2,0,2,0,0,0,0
69,Asian Studies: China,,,,,,,,
70,,Rackham,4,0,4,0,0,0,0
71,Asian Studies: Japan,,,,,,,,
72,,Rackham,5,0,5,0,0,0,0
73,Astronomy and Astrophysics,,,,,,,,
74,,Literature Science & the Arts,6,6,0,0,0,0,0
75,,Rackham,10,0,1,4,0,0,5
76,Athletic Training,,,,,,,,
77,,Kinesiology,9,9,0,0,0,0,0
78,Atmospheric and Space Science,,,,,,,,
79,,Rackham,5,0,0,4,0,0,1
80,"Atmospheric, Oceanic and Space Sciences",,,,,,,,
81,,Rackham,24,0,13,1,0,0,10
82,Automotive Engineering,,,,,,,,
83,,Engineering,5,0,5,0,0,0,0
84,Biochemistry,,,,,,,,
85,,Literature Science & the Arts,72,72,0,0,0,0,0
86,Bioinformatics,,,,,,,,
87,,Rackham,16,0,6,7,0,0,3
88,Biological Chemistry,,,,,,,,
89,,Rackham,17,0,0,8,0,0,9
90,Biology,,,,,,,,
91,,Literature Science & the Arts,85,85,0,0,0,0,0
92,Biomedical Engineering,,,,,,,,
93,,Engineering,84,84,0,0,0,0,0
94,,Rackham,128,0,79,21,0,0,28
95,Biophysics,,,,,,,,
96,,Literature Science & the Arts,8,8,0,0,0,0,0
97,,Rackham,6,0,0,3,0,0,3
98,Biostatistics,,,,,,,,
99,,Rackham,55,0,25,15,0,0,15
100,"Brain, Behavior, and Cognitive Sciences",,,,,,,,
101,,Literature Science & the Arts,273,273,0,0,0,0,0
102,Business Administration,,,,,,,,
103,,Business Administration,1197,376,821,0,0,0,0
104,,Rackham,36,0,3,13,0,0,20
105,Cancer Biology,,,,,,,,
106,,Rackham,1,0,0,0,0,0,1
107,Cell and Developmental Biology,,,,,,,,
108,,Rackham,9,0,0,5,0,0,4
109,Cellular and Molecular Biology,,,,,,,,
110,,Literature Science & the Arts,107,107,0,0,0,0,0
111,,Rackham,32,0,3,12,0,0,17
112,Cellular Biotechnology,,,,,,,,
113,,Rackham,0,0,0,0,0,0,0
114,Ceramics,,,,,,,,
115,,Art and Design,1,1,0,0,0,0,0
116,Chamber Music,,,,,,,,
117,,"Music, Theatre & Dance",3,0,3,0,0,0,0
118,Chamber Music (Strings),,,,,,,,
119,,"Music, Theatre & Dance",1,0,1,0,0,0,0
120,Chamber Music (Winds),,,,,,,,
121,,"Music, Theatre & Dance",10,0,10,0,0,0,0
122,Chemical Biology,,,,,,,,
123,,Rackham,28,0,1,14,0,0,13
124,Chemical Engineering,,,,,,,,
125,,Engineering,146,146,0,0,0,0,0
126,,Rackham,75,0,32,22,0,0,21
127,Chemistry,,,,,,,,
128,,Literature Science & the Arts,25,25,0,0,0,0,0
129,,Rackham,114,0,21,37,0,0,56
130,Civil Engineering,,,,,,,,
131,,Engineering,99,99,0,0,0,0,0
132,,Rackham,37,0,19,4,0,0,14
133,Classical Archaeology,,,,,,,,
134,,Literature Science & the Arts,6,6,0,0,0,0,0
135,Classical Art and Archaeology,,,,,,,,
136,,Rackham,9,0,2,3,0,0,4
137,Classical Civilization,,,,,,,,
138,,Literature Science & the Arts,9,9,0,0,0,0,0
139,Classical Language and Literature,,,,,,,,
140,,Literature Science & the Arts,12,12,0,0,0,0,0
141,Classical Studies,,,,,,,,
142,,Rackham,8,0,1,4,0,0,3
143,Classical Studies-Greek,,,,,,,,
144,,Rackham,1,0,1,0,0,0,0
145,Classical Studies-Latin,,,,,,,,
146,,Rackham,1,0,1,0,0,0,0
147,Clinical Research,,,,,,,,
148,,Rackham,5,0,5,0,0,0,0
149,Collaborative Piano,,,,,,,,
150,,"Music, Theatre & Dance",4,0,1,0,0,3,0
151,Communication,,,,,,,,
152,,Literature Science & the Arts,235,235,0,0,0,0,0
153,,Rackham,14,0,0,6,0,0,8
154,Community Health Nursing,,,,,,,,
155,,Rackham,33,0,33,0,0,0,0
156,Community Informatics,,,,,,,,
157,,Graduate Information,4,0,4,0,0,0,0
158,Community Organization,,,,,,,,
159,,Social Work,56,0,56,0,0,0,0
160,Comparative Literature,,,,,,,,
161,,Literature Science & the Arts,5,5,0,0,0,0,0
162,,Rackham,9,0,0,3,0,0,6
163,Complex Systems,,,,,,,,
164,,Rackham,0,0,0,0,0,0,0
165,Composition,,,,,,,,
166,,"Music, Theatre & Dance",8,3,5,0,0,0,0
167,Computer Engineering,,,,,,,,
168,,Engineering,73,73,0,0,0,0,0
169,Computer Science,,,,,,,,
170,,Engineering,132,132,0,0,0,0,0
171,,Literature Science & the Arts,26,26,0,0,0,0,0
172,Computer Science and Engineering,,,,,,,,
173,,Rackham,128,0,77,24,0,0,27
174,Concurrent Marine Design,,,,,,,,
175,,Engineering,2,0,2,0,0,0,0
176,Conducting (Band),,,,,,,,
177,,"Music, Theatre & Dance",1,0,1,0,0,0,0
178,Conducting (Choral),,,,,,,,
179,,"Music, Theatre & Dance",2,0,2,0,0,0,0
180,Conducting (Orchestral),,,,,,,,
181,,"Music, Theatre & Dance",3,0,3,0,0,0,0
182,Construction Engineering and Management,,,,,,,,
183,,Engineering,8,0,8,0,0,0,0
184,,Rackham,2,0,2,0,0,0,0
185,Creative Writing,,,,,,,,
186,,Rackham,22,0,22,0,0,0,0
187,Creative Writing - Literature,,,,,,,,
188,,Literature Science & the Arts,19,19,0,0,0,0,0
189,Culture and Cognition,,,,,,,,
190,,Rackham,0,0,0,0,0,0,0
191,Dance,,,,,,,,
192,,"Music, Theatre & Dance",11,11,0,0,0,0,0
193,Dental Hygiene,,,,,,,,
194,,Dental Hygiene,36,36,0,0,0,0,0
195,Dentistry,,,,,,,,
196,,Dentistry,114,0,0,0,114,0,0
197,Design & Production,,,,,,,,
198,,"Music, Theatre & Dance",10,10,0,0,0,0,0
199,Design Science,,,,,,,,
200,,Rackham,6,0,1,3,0,0,2
201,Drama,,,,,,,,
202,,Literature Science & the Arts,2,2,0,0,0,0,0
203,Earth and Environmental Sciences,,,,,,,,
204,,Literature Science & the Arts,1,1,0,0,0,0,0
205,,Rackham,5,0,0,1,0,0,4
206,Earth Sciences,,,,,,,,
207,,Literature Science & the Arts,2,2,0,0,0,0,0
208,Earth Systems Science and Engineering,,,,,,,,
209,,Engineering,15,15,0,0,0,0,0
210,Ecology and Evolutionary Biology,,,,,,,,
211,,Literature Science & the Arts,40,40,0,0,0,0,0
212,,Rackham,18,0,5,8,0,0,5
213,Economics,,,,,,,,
214,,Literature Science & the Arts,431,431,0,0,0,0,0
215,,Rackham,77,0,23,19,0,0,35
216,Education,,,,,,,,
217,,Rackham,1,0,1,0,0,0,0
218,Education and Psychology,,,,,,,,
219,,Rackham,8,0,0,1,0,0,7
220,Educational Studies,,,,,,,,
221,,Rackham,162,0,133,14,0,0,15
222,Education-Secondary,,,,,,,,
223,,Education,53,53,0,0,0,0,0
224,Electrical Engineering,,,,,,,,
225,,Engineering,126,126,0,0,0,0,0
226,,Rackham,180,0,98,42,0,0,40
227,Electrical Engineering-Systems,,,,,,,,
228,,Rackham,115,0,72,19,0,0,24
229,Elementary Education,,,,,,,,
230,,Education,47,47,0,0,0,0,0
231,Endodontics,,,,,,,,
232,,Rackham,3,0,3,0,0,0,0
233,Energy Systems Engineering,,,,,,,,
234,,Engineering,38,0,38,0,0,0,0
235,Engineering,,,,,,,,
236,,Engineering,11,11,0,0,0,0,0
237,Engineering Education Research,,,,,,,,
238,,Rackham,0,0,0,0,0,0,0
239,Engineering Physics,,,,,,,,
240,,Engineering,18,18,0,0,0,0,0
241,English,,,,,,,,
242,,Literature Science & the Arts,300,300,0,0,0,0,0
243,English and Education,,,,,,,,
244,,Rackham,11,0,0,5,0,0,6
245,English Language and Literature,,,,,,,,
246,,Rackham,23,0,1,10,0,0,12
247,English & Women's Studies,,,,,,,,
248,,Rackham,3,0,0,0,0,0,3
249,Entrepreneurship,,,,,,,,
250,,Engineering,0,0,0,0,0,0,0
251,,Literature Science & the Arts,7,7,0,0,0,0,0
252,Environment,,,,,,,,
253,,Literature Science & the Arts,123,123,0,0,0,0,0
254,Environmental Engineering,,,,,,,,
255,,Rackham,26,0,16,2,0,0,8
256,Environmental Health Sciences,,,,,,,,
257,,Public Health,30,0,30,0,0,0,0
258,,Rackham,20,0,3,7,0,0,10
259,Epidemiological Science,,,,,,,,
260,,Rackham,30,0,0,14,0,0,16
261,Epidemiology,,,,,,,,
262,,Public Health,50,0,50,0,0,0,0
263,Epidemiology International Health,,,,,,,,
264,,Public Health,11,0,11,0,0,0,0
265,Evolutionary Anthropology,,,,,,,,
266,,Literature Science & the Arts,53,53,0,0,0,0,0
267,Film Studies,,,,,,,,
268,,Rackham,0,0,0,0,0,0,0
269,Financial Engineering,,,,,,,,
270,,Rackham,55,0,55,0,0,0,0
271,Foundations of Public Health,,,,,,,,
272,,Public Health,0,0,0,0,0,0,0
273,French,,,,,,,,
274,,Literature Science & the Arts,37,37,0,0,0,0,0
275,General Biology,,,,,,,,
276,,Literature Science & the Arts,45,45,0,0,0,0,0
277,General Studies,,,,,,,,
278,,Literature Science & the Arts,69,69,0,0,0,0,0
279,Genetic Counseling,,,,,,,,
280,,Rackham,5,0,5,0,0,0,0
281,Geological Science,,,,,,,,
282,,Literature Science & the Arts,12,12,0,0,0,0,0
283,Geology,,,,,,,,
284,,Rackham,30,0,9,11,0,0,10
285,German,,,,,,,,
286,,Literature Science & the Arts,41,41,0,0,0,0,0
287,Germanic Language and Literature,,,,,,,,
288,,Rackham,6,0,2,2,0,0,2
289,Gerontological Nursing,,,,,,,,
290,,Rackham,2,0,2,0,0,0,0
291,Global Automotive and Manufacturing Engineering,,,,,,,,
292,,Engineering,71,0,71,0,0,0,0
293,Greek and Roman History,,,,,,,,
294,,Rackham,2,0,0,2,0,0,0
295,Health and Health Care Research,,,,,,,,
296,,Rackham,10,0,10,0,0,0,0
297,Health Behavior and Health Education,,,,,,,,
298,,Public Health,69,0,69,0,0,0,0
299,,Rackham,10,0,0,3,0,0,7
300,Health Informatics,,,,,,,,
301,,,0,0,0,0,0,0,0
302,Health Management and Policy,,,,,,,,
303,,Public Health,70,0,70,0,0,0,0
304,Health Service Organizations and Policy,,,,,,,,
305,,Rackham,8,0,0,4,0,0,4
306,Health Services Research,,,,,,,,
307,,Rackham,3,0,3,0,0,0,0
308,Hebrew and Jewish Cultural Studies,,,,,,,,
309,,Literature Science & the Arts,5,5,0,0,0,0,0
310,Higher Education,,,,,,,,
311,,Rackham,39,0,26,6,0,0,7
312,History,,,,,,,,
313,,Literature Science & the Arts,175,175,0,0,0,0,0
314,,Rackham,49,0,14,19,0,0,16
315,History and Women's Studies,,,,,,,,
316,,Rackham,4,0,0,2,0,0,2
317,History of Art,,,,,,,,
318,,Literature Science & the Arts,43,43,0,0,0,0,0
319,,Rackham,12,0,5,4,0,0,3
320,Hospital and Molecular Epidemiology,,,,,,,,
321,,Public Health,22,0,22,0,0,0,0
322,Human Computer Interaction,,,,,,,,
323,,Graduate Information,61,0,61,0,0,0,0
324,Human Genetics,,,,,,,,
325,,Rackham,12,0,3,5,0,0,4
326,Human Nutrition,,,,,,,,
327,,Public Health,16,0,16,0,0,0,0
328,Immunology,,,,,,,,
329,,Rackham,13,0,1,7,0,0,5
330,Improvisation,,,,,,,,
331,,"Music, Theatre & Dance",5,0,5,0,0,0,0
332,Independent Interdependent Degree Program,,,,,,,,
333,,Rackham,11,0,0,3,0,0,8
334,Individualized Concentration,,,,,,,,
335,,Literature Science & the Arts,17,17,0,0,0,0,0
336,Industrial and Operations Engineering,,,,,,,,
337,,Engineering,179,179,0,0,0,0,0
338,,Rackham,155,0,130,9,0,0,16
339,Industrial Ecology,,,,,,,,
340,,Rackham,0,0,0,0,0,0,0
341,Industrial Health,,,,,,,,
342,,Rackham,1,0,1,0,0,0,0
343,Informatics,,,,,,,,
344,,Literature Science & the Arts,36,36,0,0,0,0,0
345,Information,,,,,,,,
346,,Rackham,22,0,0,11,0,0,11
347,Information Analysis and Retrieval,,,,,,,,
348,,Graduate Information,14,0,14,0,0,0,0
349,Information Economics for Management,,,,,,,,
350,,Graduate Information,7,0,7,0,0,0,0
351,Information Policy,,,,,,,,
352,,Graduate Information,8,0,8,0,0,0,0
353,Interarts Performance,,,,,,,,
354,,Art and Design,2,2,0,0,0,0,0
355,Interdisciplinary Physics,,,,,,,,
356,,Literature Science & the Arts,17,17,0,0,0,0,0
357,International Studies,,,,,,,,
358,,Literature Science & the Arts,128,128,0,0,0,0,0
359,International Tax,,,,,,,,
360,,Law,4,0,4,0,0,0,0
361,Interpersonal Practice,,,,,,,,
362,,Social Work,217,0,217,0,0,0,0
363,Italian,,,,,,,,
364,,Literature Science & the Arts,2,2,0,0,0,0,0
365,Jazz and Contemplative Studies,,,,,,,,
366,,"Music, Theatre & Dance",3,3,0,0,0,0,0
367,Jazz Studies,,,,,,,,
368,,"Music, Theatre & Dance",12,12,0,0,0,0,0
369,Judaic Studies,,,,,,,,
370,,Literature Science & the Arts,7,7,0,0,0,0,0
371,,Rackham,0,0,0,0,0,0,0
372,Kinesiology,,,,,,,,
373,,Rackham,29,0,18,6,0,0,5
374,Landscape Architecture,,,,,,,,
375,,Rackham,19,0,17,0,0,0,2
376,Latin,,,,,,,,
377,,Literature Science & the Arts,5,5,0,0,0,0,0
378,Latin America and Caribbean Studies,,,,,,,,
379,,Literature Science & the Arts,10,10,0,0,0,0,0
380,,Rackham,0,0,0,0,0,0,0
381,Latino Studies,,,,,,,,
382,,Literature Science & the Arts,4,4,0,0,0,0,0
383,Law,,,,,,,,
384,,Law,421,0,32,4,385,0,0
385,Library and Information Science,,,,,,,,
386,,Graduate Information,41,0,41,0,0,0,0
387,Linguistics,,,,,,,,
388,,Literature Science & the Arts,39,39,0,0,0,0,0
389,,Rackham,8,0,0,5,0,0,3
390,Macromolecular Science and Engineering,,,,,,,,
391,,Rackham,14,0,0,9,0,0,5
392,Management of Human Services,,,,,,,,
393,,Social Work,27,0,27,0,0,0,0
394,Manufacturing,,,,,,,,
395,,Engineering,14,0,13,1,0,0,0
396,Materials Science and Engineering,,,,,,,,
397,,Engineering,47,47,0,0,0,0,0
398,,Rackham,53,0,16,11,0,0,26
399,Mathematics,,,,,,,,
400,,Literature Science & the Arts,182,182,0,0,0,0,0
401,,Rackham,50,0,16,17,0,0,17
402,Mechanical Engineering,,,,,,,,
403,,Engineering,187,187,0,0,0,0,0
404,,Rackham,297,0,153,45,0,0,99
405,Media Arts,,,,,,,,
406,,Rackham,3,0,3,0,0,0,0
407,Medical Surgical Nursing,,,,,,,,
408,,Rackham,11,0,11,0,0,0,0
409,Medicinal Chemistry,,,,,,,,
410,,Rackham,19,0,2,6,0,0,11
411,Medicine,,,,,,,,
412,,Medical,148,0,0,0,148,0,0
413,Microbiology,,,,,,,,
414,,Literature Science & the Arts,52,52,0,0,0,0,0
415,Microbiology and Immunology,,,,,,,,
416,,Rackham,19,0,0,4,0,0,15
417,Middle Eastern & North African Studies,,,,,,,,
418,,Literature Science & the Arts,3,3,0,0,0,0,0
419,Mineralogy,,,,,,,,
420,,Rackham,1,0,1,0,0,0,0
421,Modern Greek,,,,,,,,
422,,Literature Science & the Arts,3,3,0,0,0,0,0
423,Modern Middle Eastern and North African Studies,,,,,,,,
424,,Rackham,6,0,6,0,0,0,0
425,Molecular and Cellular Pathology,,,,,,,,
426,,Rackham,7,0,0,2,0,0,5
427,Molecular and Integrative Physiology,,,,,,,,
428,,Rackham,6,0,0,3,0,0,3
429,"Molecular, Cellular and Developmental Biology",,,,,,,,
430,,Rackham,33,0,12,6,0,0,15
431,Movement Science,,,,,,,,
432,,Kinesiology,127,127,0,0,0,0,0
433,Museum Studies,,,,,,,,
434,,Rackham,0,0,0,0,0,0,0
435,Music,,,,,,,,
436,,Literature Science & the Arts,13,13,0,0,0,0,0
437,Music Composition,,,,,,,,
438,,Rackham,5,0,1,2,0,0,2
439,Music Conducting,,,,,,,,
440,,Rackham,8,0,0,3,0,0,5
441,Music Education,,,,,,,,
442,Music Education,"Music, Theatre & Dance",13,7,6,0,0,0,0
443,,Rackham,2,0,0,0,0,0,2
444,Music History,,,,,,,,
445,,"Music, Theatre & Dance",1,1,0,0,0,0,0
446,Music Performance,,,,,,,,
447,,Rackham,42,0,0,22,0,0,20
448,Music Theatre,,,,,,,,
449,,"Music, Theatre & Dance",19,19,0,0,0,0,0
450,Music Theory,,,,,,,,
451,,Rackham,3,0,0,3,0,0,0
452,Music: Musicology,,,,,,,,
453,,Rackham,8,0,0,5,0,0,3
454,Natural Resources,,,,,,,,
455,,Natural Resources & Environment,1,1,0,0,0,0,0
456,Natural Resources and Environment,,,,,,,,
457,,Rackham,187,0,169,8,0,0,10
458,Naval Architecture and Marine Engineering,,,,,,,,
459,,Engineering,34,34,0,0,0,0,0
460,,Rackham,57,0,45,2,0,0,10
461,Near Eastern Civilizations,,,,,,,,
462,,Literature Science & the Arts,1,1,0,0,0,0,0
463,Near Eastern Studies,,,,,,,,
464,,Rackham,12,0,2,3,0,0,7
465,Neuroscience,,,,,,,,
466,,Literature Science & the Arts,200,200,0,0,0,0,0
467,,Rackham,19,0,8,10,0,0,1
468,Nuclear Engineering and Radiological Sciences,,,,,,,,
469,,Engineering,35,35,0,0,0,0,0
470,,Rackham,80,0,38,18,0,0,24
471,Nuclear Science,,,,,,,,
472,,Rackham,1,0,0,0,0,0,1
473,Nursing,,,,,,,,
474,,Nursing,134,134,0,0,0,0,0
475,,Rackham,21,0,0,11,0,0,10
476,Nursing Business and Health Systems,,,,,,,,
477,,Rackham,17,0,17,0,0,0,0
478,Nursing R. N.,,,,,,,,
479,,Nursing,4,4,0,0,0,0,0
