,The University of Michigan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"Graduates by Campus, Field of Specialization, and Degree Level",,,,,,,,
1,2009-2010,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,Degrees,,,,,,,
5,,,,,,,Graduate-,Intermediate,Certificate of
6,,,Total,Bachelor,Master,Doctor,Professional,Professional,Candidacy
7,,,,,,,,,
8,Total,,15612,8675,4474,799,735,7,922
9,              Ann Arbor,,12516,6457,3596,799,735,7,922
10,              Dearborn,,1797,1264,533,0,0,0,0
11,              Flint,,1299,954,345,0,0,0,0
12,,,,,,,,,
13,The University of Michigan - Ann Arbor,,,,,,,,
14,Accounting,,,,,,,,
15,,Business Administration,62,0,62,0,0,0,0
16,Administration of Nursing & Patient Care Services,,,,,,,,
17,,Rackham,1,0,1,0,0,0,0
18,Aerospace Engineering,,,,,,,,
19,,Engineering,118,118,0,0,0,0,0
20,,Rackham,81,0,40,16,0,0,25
21,Aerospace Science,,,,,,,,
22,,Rackham,3,0,2,1,0,0,0
23,Afroamerican and African Studies,,,,,,,,
24,,Literature Science & the Arts,16,16,0,0,0,0,0
25,,Rackham,0,0,0,0,0,0,0
26,American Culture,,,,,,,,
27,,Literature Science & the Arts,39,39,0,0,0,0,0
28,,Rackham,18,0,4,7,0,0,7
29,Ancient Civilizations and Biblical Studies,,,,,,,,
30,,Literature Science & the Arts,4,4,0,0,0,0,0
31,Anthropology,,,,,,,,
32,,Literature Science & the Arts,82,82,0,0,0,0,0
33,,Rackham,46,0,19,10,0,0,17
34,Anthropology and History,,,,,,,,
35,,Rackham,8,0,0,4,0,0,4
36,Anthropology-Zoology,,,,,,,,
37,,Literature Science & the Arts,37,37,0,0,0,0,0
38,Applied and Interdisciplinary Mathematics,,,,,,,,
39,,Rackham,13,0,1,7,0,0,5
40,Applied Economics,,,,,,,,
41,,Rackham,46,0,46,0,0,0,0
42,Applied Physics,,,,,,,,
43,,Rackham,24,0,2,13,0,0,9
44,Applied Statistics,,,,,,,,
45,,Rackham,16,0,16,0,0,0,0
46,Arabic Studies,,,,,,,,
47,,Rackham,2,0,2,0,0,0,0
48,"Arabic,Armenian,Persian,Turkish & Islamic Studies",,,,,,,,
49,,Literature Science & the Arts,37,37,0,0,0,0,0
50,Architecture,,,,,,,,
51,,Architecture & Urban Planning,164,106,58,0,0,0,0
52,,Rackham,16,0,7,7,0,0,2
53,Architecture Three Plus,,,,,,,,
54,,Architecture & Urban Planning,40,0,40,0,0,0,0
55,Art,,,,,,,,
56,,Rackham,11,0,11,0,0,0,0
