,The University of Michigan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"Graduates by Campus, Field of Specialization, and Degree Level",,,,,,,,
1,2008-2009,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,Degrees,,,,,,,
5,,,,,,,Graduate-,Intermediate,Certificate of
6,,,Total,Bachelor,Master,Doctor,Professional,Professional,Candidacy
7,,,,,,,,,
8,Total,,15530,8636,4460,842,734,1,857
9,              Ann Arbor,,12386,6473,3479,842,734,1,857
10,              Dearborn,,1900,1261,639,0,0,0,0
11,              Flint,,1244,902,342,0,0,0,0
12,,,,,,,,,
13,The University of Michigan - Ann Arbor,,,,,,,,
14,Accounting,,,,,,,,
15,,Business Administration,60,0,60,0,0,0,0
16,Administration of Nursing & Patient Care Services,,,,,,,,
17,,Rackham,1,0,1,0,0,0,0
18,Aerospace Engineering,,,,,,,,
19,,Engineering,134,134,0,0,0,0,0
20,,Rackham,91,0,50,21,0,0,20
21,Aerospace Science,,,,,,,,
22,,Rackham,8,0,6,1,0,0,1
23,Afroamerican and African Studies,,,,,,,,
24,,Literature Science & the Arts,8,8,0,0,0,0,0
25,American Culture,,,,,,,,
26,,Literature Science & the Arts,30,30,0,0,0,0,0
27,,Rackham,13,0,2,7,0,0,4
28,Ancient Civilizations and Biblical Studies,,,,,,,,
29,,Literature Science & the Arts,6,6,0,0,0,0,0
30,Anthropology,,,,,,,,
31,,Literature Science & the Arts,86,86,0,0,0,0,0
32,,Rackham,37,0,11,17,0,0,9
33,Anthropology and History,,,,,,,,
34,,Rackham,4,0,0,1,0,0,3
35,Anthropology-Zoology,,,,,,,,
36,,Literature Science & the Arts,55,55,0,0,0,0,0
37,Applied and Interdisciplinary Mathematics,,,,,,,,
38,,Rackham,15,0,6,3,0,0,6
39,Applied Economics,,,,,,,,
40,,Rackham,26,0,26,0,0,0,0
41,Applied Physics,,,,,,,,
42,,Rackham,17,0,0,8,0,0,9
43,Applied Statistics,,,,,,,,
44,,Rackham,9,0,9,0,0,0,0
45,Arabic Studies,,,,,,,,
46,,Rackham,4,0,4,0,0,0,0
47,"Arabic,Armenian,Persian,Turkish & Islamic Studies",,,,,,,,
48,,Literature Science & the Arts,25,25,0,0,0,0,0
49,Architecture,,,,,,,,
50,,Architecture & Urban Planning,161,110,51,0,0,0,0
51,,Rackham,19,0,8,4,0,0,7
52,Architecture Three Plus,,,,,,,,
53,,Architecture & Urban Planning,23,0,23,0,0,0,0
54,Art,,,,,,,,
55,,Rackham,7,0,7,0,0,0,0
56,Art and Design,,,,,,,,
57,,Art and Design,99,99,0,0,0,0,0
58,Arts Administration,,,,,,,,
59,,"Music, Theatre & Dance",1,0,1,0,0,0,0
60,Arts and Ideas,,,,,,,,
61,,Literature Science & the Arts,7,7,0,0,0,0,0
62,Asian Languages and Cultures,,,,,,,,
63,,Rackham,6,0,1,1,0,0,4
64,Asian Language and Culture Chinese,,,,,,,,
65,,Rackham,2,0,0,2,0,0,0
66,Asian Studies,,,,,,,,
67,,Literature Science & the Arts,38,38,0,0,0,0,0
68,Asian Studies: China,,,,,,,,
