,The University of Michigan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"Graduates by Campus, Field of Specialization, and Degree Level",,,,,,,,
1,2004-2005,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,Degrees,,,,,,
5,,,,,,,Graduate-,Intermediate,Certificate of
6,,,Total,Bachelor,Master,Doctor,Professional,Professional,Candidacy
7,,,,,,,,,
8,Total,,14710,7909,4422,725,681,3,970
9,              Ann Arbor,,11822,5880,3563,725,681,3,970
10,              Dearborn,,1774,1155,619,0,0,0,0
11,              Flint,,1114,874,240,0,0,0,0
12,,,,,,,,,
13,The University of Michigan - Ann Arbor,,,,,,,,
14,Accounting,,,,,,,,
15,,Business Administration,60,0,60,0,0,0,0
16,Administration of Nursing & Patient Care Services,,,,,,,,
17,,Rackham,5,0,4,0,0,0,1
18,Aerospace Engineering,,,,,,,,
19,,Engineering,102,102,0,0,0,0,0
20,,Rackham,79,0,41,17,0,0,21
21,Aerospace Science,,,,,,,,
22,,Rackham,1,0,1,0,0,0,0
23,Afroamerican and African Studies,,,,,,,,
24,,Literature Science & the Arts,13,13,0,0,0,0,0
25,American Culture,,,,,,,,
26,,Literature Science & the Arts,29,29,0,0,0,0,0
27,,Rackham,14,0,4,7,0,0,3
28,Anatomy and Cellular Biology,,,,,,,,
29,,Rackham,1,0,0,1,0,0,0
30,Ancient and Biblical Studies-Near East,,,,,,,,
31,,Literature Science & the Arts,1,1,0,0,0,0,0
32,Ancient Civilizations and Biblical Studies,,,,,,,,
33,,Literature Science & the Arts,1,1,0,0,0,0,0
34,Anthropology,,,,,,,,
35,,Literature Science & the Arts,58,58,0,0,0,0,0
36,,Rackham,48,0,10,13,0,0,25
37,Anthropology and History,,,,,,,,
38,,Rackham,5,0,1,1,0,0,3
39,Anthropology-Zoology,,,,,,,,
40,,Literature Science & the Arts,47,47,0,0,0,0,0
41,Applied and Interdisciplinary Mathematics,,,,,,,,
42,,Rackham,5,0,3,0,0,0,2
43,Applied Economics,,,,,,,,
44,,Rackham,25,0,25,0,0,0,0
45,Applied Physics,,,,,,,,
46,,Rackham,21,0,3,9,0,0,9
47,Applied Statistics,,,,,,,,
48,,Rackham,21,0,21,0,0,0,0
49,"Arabic, Persian, Turkish and Islamic Studies",,,,,,,,
50,,Literature Science & the Arts,6,6,0,0,0,0,0
51,"Arabic,Armenian,Persian,Turkish & Islamic Studies",,,,,,,,
52,,Literature Science & the Arts,18,18,0,0,0,0,0
53,Architecture,,,,,,,,
54,,Architecture & Urban Planning,135,84,51,0,0,0,0
55,,Rackham,23,0,7,6,0,0,10
56,Architecture Three Plus,,,,,,,,
57,,Architecture & Urban Planning,18,0,18,0,0,0,0
58,Archives and Records Management,,,,,,,,
59,,Rackham,14,0,14,0,0,0,0
60,Art,,,,,,,,
61,,Rackham,1,0,1,0,0,0,0
62,Arts and Ideas,,,,,,,,
63,,Literature Science & the Arts,4,4,0,0,0,0,0
64,,LSA Residential College,1,1,0,0,0,0,0
65,Asian Language and Culture ,,,,,,,,
66,,Rackham,1,0,0,0,0,0,1
67,Asian Language and Culture - Buddhist,,,,,,,,
68,,Rackham,2,0,0,0,0,0,2
69,Asian Language and Culture Chinese,,,,,,,,
70,,Rackham,2,0,0,2,0,0,0
71,Asian Language and Culture Japanese,,,,,,,,
72,,Rackham,1,0,0,1,0,0,0
73,Asian Studies,,,,,,,,
74,,Literature Science & the Arts,43,43,0,0,0,0,0
75,Asian Studies: China,,,,,,,,
76,,Rackham,1,0,1,0,0,0,0
77,Asian Studies: Japan,,,,,,,,
78,,Literature Science & the Arts,2,2,0,0,0,0,0
79,,Rackham,2,0,2,0,0,0,0
80,Asian Studies: South and Southeast Asia,,,,,,,,
81,,Rackham,2,0,2,0,0,0,0
82,Astronomy,,,,,,,,
83,,Literature Science & the Arts,2,2,0,0,0,0,0
84,,Rackham,5,0,4,1,0,0,0
85,Astronomy and Astrophysics,,,,,,,,
86,,Literature Science & the Arts,7,7,0,0,0,0,0
87,,Rackham,7,0,1,0,0,0,6
88,Athletic Training,,,,,,,,
89,,Kinesiology,13,13,0,0,0,0,0
90,Atmospheric and Space Science,,,,,,,,
91,,Rackham,25,0,17,2,0,0,6
92,"Atmospheric, Oceanic and Space Sciences",,,,,,,,
93,,Engineering,1,1,0,0,0,0,0
94,Automotive Engineering,,,,,,,,
95,,Engineering,43,0,43,0,0,0,0
96,Biochemistry,,,,,,,,
97,,Literature Science & the Arts,62,62,0,0,0,0,0
98,Bioinformatics,,,,,,,,
99,,Rackham,7,0,3,0,0,0,4
100,Biological Chemistry,,,,,,,,
101,,Rackham,19,0,7,8,0,0,4
102,Biology,,,,,,,,
103,,Literature Science & the Arts,148,148,0,0,0,0,0
104,,LSA Residential College,2,2,0,0,0,0,0
105,,Rackham,6,0,0,6,0,0,0
106,Biomaterials,,,,,,,,
107,,Rackham,1,0,1,0,0,0,0
108,Biomedical Engineering,,,,,,,,
109,,Engineering,48,48,0,0,0,0,0
110,,Rackham,125,0,72,25,0,0,28
111,Biophysics,,,,,,,,
112,,Literature Science & the Arts,4,4,0,0,0,0,0
113,,Rackham,3,0,0,1,0,0,2
114,Biopsychology and Cognitive Science,,,,,,,,
115,,Literature Science & the Arts,185,185,0,0,0,0,0
116,Biostatistics,,,,,,,,
117,,Rackham,50,0,28,6,0,0,16
118,"Brain, Behavior, and Cognitive Sciences",,,,,,,,
119,,Literature Science & the Arts,1,1,0,0,0,0,0
120,Business Administration,,,,,,,,
121,,Business Administration,1104,333,771,0,0,0,0
122,,Rackham,38,0,0,15,0,0,23
123,Cell and Developmental Biology,,,,,,,,
124,,Rackham,10,0,4,1,0,0,5
125,Cellular and Molecular Biology,,,,,,,,
126,,Literature Science & the Arts,130,130,0,0,0,0,0
127,Cellular and Molecular Biology,,,,,,,,
128,,Rackham,33,0,1,9,0,0,23
129,Cellular Biotechnology,,,,,,,,
130,,Rackham,0,0,0,0,0,0,0
131,Ceramics,,,,,,,,
132,,Art and Design,2,2,0,0,0,0,0
133,Chamber Music (Strings),,,,,,,,
134,,Music,3,0,3,0,0,0,0
135,Chamber Music (Winds),,,,,,,,
136,,Music,1,0,1,0,0,0,0
137,Chemical Engineering,,,,,,,,
138,,Engineering,68,68,0,0,0,0,0
139,,Rackham,55,0,24,12,0,0,19
140,Chemistry,,,,,,,,
141,,Literature Science & the Arts,30,30,0,0,0,0,0
142,,Rackham,107,0,20,32,0,0,55
143,Church Music,,,,,,,,
144,,Music,1,0,1,0,0,0,0
145,Civil Engineering,,,,,,,,
146,,Engineering,50,50,0,0,0,0,0
147,,Rackham,42,0,23,9,0,0,10
148,Classical Archaeology,,,,,,,,
149,,Literature Science & the Arts,17,17,0,0,0,0,0
150,Classical Art and Archaeology,,,,,,,,
151,,Rackham,7,0,1,3,0,0,3
152,Classical Civilization,,,,,,,,
153,,Literature Science & the Arts,11,11,0,0,0,0,0
154,Classical Language and Literature,,,,,,,,
155,,Literature Science & the Arts,2,2,0,0,0,0,0
156,Classical Studies,,,,,,,,
157,,Rackham,4,0,0,3,0,0,1
158,Classical Studies-Greek,,,,,,,,
159,,Rackham,5,0,5,0,0,0,0
160,Classical Studies-Latin,,,,,,,,
161,,Rackham,2,0,2,0,0,0,0
