,The University of Michigan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"Graduates by Campus, Field of Specialization, and Degree Level",,,,,,,,
1,2014-2015,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,Degrees,,,,,,
5,,,,,,,Doctor's,Intermediate,Certificate of
6,,,Total,Bachelor,Master,Doctor,Professional,Professional,Candidacy
7,,,,,,,Practice,,
8,,,,,,,,,
9,Total,,17443,9614,5240,994,730,4,861
10,              Ann Arbor,,13858,7091,4296,876,730,4,861
11,              Dearborn,,1917,1292,617,8,0,0,0
12,              Flint,,1668,1231,327,110,0,0,0
13,,,,,,,,,
14,The University of Michigan - Ann Arbor,,,,,,,,
15,,,,,,,,,
16,Accounting,,,,,,,,
17,,Business Administration,76,0,76,0,0,0,0
18,Acute Care Pediatric Nurse Practitioner,,,,,,,,
19,,Rackham,1,0,1,0,0,0,0
20,Adult/Gerontology Primary Care Nurse Practitioner,,,,,,,,
21,,Rackham,13,0,13,0,0,0,0
22,Adult-Gerontology Acute Care Nurse Practitioner,,,,,,,,
23,,Rackham,32,0,32,0,0,0,0
24,Aerospace Engineering,,,,,,,,
25,,Engineering,94,94,0,0,0,0,0
26,,Rackham,116,0,63,21,0,0,32
27,Afroamerican and African Studies,,,,,,,,
28,,Literature Science & the Arts,21,21,0,0,0,0,0
29,American Culture,,,,,,,,
30,,Literature Science & the Arts,23,23,0,0,0,0,0
31,,Rackham,15,0,4,6,0,0,5
32,Anthropology,,,,,,,,
33,,Literature Science & the Arts,68,68,0,0,0,0,0
34,,Rackham,37,0,7,17,0,0,13
35,Anthropology and History,,,,,,,,
36,,Rackham,4,0,1,1,0,0,2
37,Applied and Interdisciplinary Mathematics,,,,,,,,
38,,Rackham,19,0,7,6,0,0,6
39,Applied Climate,,,,,,,,
40,,Engineering,3,0,3,0,0,0,0
41,Applied Economics,,,,,,,,
42,,Rackham,51,0,51,0,0,0,0
43,Applied Physics,,,,,,,,
44,,Rackham,29,0,7,9,0,0,13
45,Applied Statistics,,,,,,,,
46,,Rackham,35,0,35,0,0,0,0
47,Arabic Studies,,,,,,,,
48,,Rackham,4,0,4,0,0,0,0
49,"Arabic,Armenian,Persian,Turkish & Islamic Studies",,,,,,,,
50,,Literature Science & the Arts,28,28,0,0,0,0,0
51,Architecture,,,,,,,,
52,,Architecture & Urban Planning,175,69,106,0,0,0,0
53,,Rackham,24,0,17,4,0,0,3
54,Architecture Design and Research,,,,,,,,
55,,Rackham,7,0,7,0,0,0,0
56,Architecture Three Plus,,,,,,,,
57,,Architecture & Urban Planning,38,0,38,0,0,0,0
58,Archives and Records Management,,,,,,,,
59,,Graduate Information,27,0,27,0,0,0,0
60,Art,,,,,,,,
61,,Rackham,10,0,10,0,0,0,0
62,Art and Design,,,,,,,,
63,,Art and Design,135,135,0,0,0,0,0
64,Arts and Ideas,,,,,,,,
65,,Literature Science & the Arts,6,6,0,0,0,0,0
66,Asian Languages and Cultures,,,,,,,,
67,,Rackham,7,0,0,4,0,0,3
68,Asian Studies,,,,,,,,
69,,Literature Science & the Arts,49,49,0,0,0,0,0
70,Asian Studies: China,,,,,,,,
71,,Rackham,8,0,8,0,0,0,0
72,Asian Studies: Japan,,,,,,,,
73,,Rackham,6,0,6,0,0,0,0
74,Astronomy and Astrophysics,,,,,,,,
75,,Literature Science & the Arts,8,8,0,0,0,0,0
76,,Rackham,6,0,0,5,0,0,1
77,Athletic Training,,,,,,,,
78,,Kinesiology,12,12,0,0,0,0,0
79,"Atmospheric, Oceanic and Space Sciences",,,,,,,,
80,,Rackham,35,0,13,13,0,0,9
81,Automotive Engineering,,,,,,,,
82,,Engineering,12,0,12,0,0,0,0
83,Biochemistry,,,,,,,,
84,,Literature Science & the Arts,58,58,0,0,0,0,0
85,Bioinformatics,,,,,,,,
86,,Rackham,24,0,8,7,0,0,9
87,Biological Chemistry,,,,,,,,
88,,Rackham,21,0,7,9,0,0,5
89,Biology,,,,,,,,
90,,Literature Science & the Arts,72,72,0,0,0,0,0
91,Biomedical Engineering,,,,,,,,
92,,Engineering,77,77,0,0,0,0,0
93,,Rackham,141,0,101,27,0,0,13
94,Biomolecular Science,,,,,,,,
95,,Literature Science & the Arts,146,146,0,0,0,0,0
96,Biophysics,,,,,,,,
