,The University of Michigan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"Graduates by Campus, Field of Specialization, and Degree Level",,,,,,,,
1,2005-2006,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,Degrees,,,,,,,
5,,,,,,,Graduate-,Intermediate,Certificate of
6,,,Total,Bachelor,Master,Doctor,Professional,Professional,Candidacy
7,,,,,,,,,
8,Total,,14207,7638,4165,763,751,3,887
9,              Ann Arbor,,11310,5614,3292,763,751,3,887
10,              Dearborn,,1769,1149,620,0,0,0,0
11,              Flint,,1128,875,253,0,0,0,0
12,,,,,,,,,
13,The University of Michigan - Ann Arbor,,,,,,,,
14,Accounting,,,,,,,,
15,,Business Administration,58,0,58,0,0,0,0
16,Administration of Nursing & Patient Care Services,,,,,,,,
17,,Rackham,3,0,3,0,0,0,0
18,Aerospace Engineering,,,,,,,,
19,,Engineering,88,88,0,0,0,0,0
20,,Rackham,75,0,39,15,0,0,21
21,Aerospace Science,,,,,,,,
22,,Rackham,6,0,3,1,0,0,2
23,Afroamerican and African Studies,,,,,,,,
24,,Literature Science & the Arts,14,14,0,0,0,0,0
25,American Culture,,,,,,,,
26,,Literature Science & the Arts,27,27,0,0,0,0,0
27,,Rackham,15,0,4,7,0,0,4
28,Ancient and Biblical Studies-Near East,,,,,,,,
29,,Literature Science & the Arts,1,1,0,0,0,0,0
30,Ancient Civilizations and Biblical Studies,,,,,,,,
31,,Literature Science & the Arts,3,3,0,0,0,0,0
32,Anthropology,,,,,,,,
33,,Literature Science & the Arts,72,72,0,0,0,0,0
34,,Rackham,41,0,13,15,0,0,13
35,Anthropology and History,,,,,,,,
36,,Rackham,8,0,2,3,0,0,3
37,Anthropology-Zoology,,,,,,,,
38,,Literature Science & the Arts,43,43,0,0,0,0,0
39,Applied and Interdisciplinary Mathematics,,,,,,,,
40,,Rackham,13,0,4,3,0,0,6
41,,,,,,,,,
42,Applied Economics,,,,,,,,
43,,Rackham,22,0,22,0,0,0,0
44,Applied Physics,,,,,,,,
45,,Rackham,22,0,5,9,0,0,8
46,Applied Statistics,,,,,,,,
47,,Rackham,13,0,13,0,0,0,0
48,"Arabic, Persian, Turkish and Islamic Studies",,,,,,,,
49,,Literature Science & the Arts,7,7,0,0,0,0,0
50,"Arabic,Armenian,Persian,Turkish & Islamic Studies",,,,,,,,
51,,Literature Science & the Arts,14,14,0,0,0,0,0
52,Architecture,,,,,,,,
53,,Architecture & Urban Planning,127,80,47,0,0,0,0
54,,Rackham,15,0,4,6,0,0,5
55,Architecture Three Plus,,,,,,,,
56,,Architecture & Urban Planning,31,0,31,0,0,0,0
57,Archives and Records Management,,,,,,,,
58,,Rackham,16,0,16,0,0,0,0
59,Art,,,,,,,,
60,,Rackham,10,0,10,0,0,0,0
61,Art and Design,,,,,,,,
62,,Art and Design,44,44,0,0,0,0,0
63,Arts and Ideas,,,,,,,,
64,,Literature Science & the Arts,12,12,0,0,0,0,0
65,Asian Languages and Cultures,,,,,,,,
66,,Rackham,3,0,1,1,0,0,1
67,Asian Language and Culture-Buddhist,,,,,,,,
68,,Rackham,1,0,0,1,0,0,0
69,Asian Language and Culture Chinese,,,,,,,,
70,,Rackham,2,0,0,1,0,0,1
71,Asian Studies,,,,,,,,
72,,Literature Science & the Arts,34,34,0,0,0,0,0
73,Asian Studies: China,,,,,,,,
74,,Rackham,6,0,6,0,0,0,0
75,,,,,,,,,
76,Asian Studies: Japan,,,,,,,,
77,,Literature Science & the Arts,1,1,0,0,0,0,0
78,,Rackham,6,0,6,0,0,0,0
79,Asian Studies: South and Southeast Asia,,,,,,,,
80,,Rackham,3,0,3,0,0,0,0
81,Astronomy,,,,,,,,
82,,Literature Science & the Arts,2,2,0,0,0,0,0
83,Astronomy and Astrophysics,,,,,,,,
84,,Literature Science & the Arts,5,5,0,0,0,0,0
85,,Rackham,6,0,1,2,0,0,3
86,Athletic Training,,,,,,,,
87,,Kinesiology,8,8,0,0,0,0,0
88,Atmospheric and Space Science,,,,,,,,
89,,Rackham,15,0,7,4,0,0,4
90,"Atmospheric, Oceanic and Space Sciences",,,,,,,,
91,,Engineering,3,3,0,0,0,0,0
92,Automotive Engineering,,,,,,,,
93,,Engineering,20,0,20,0,0,0,0
94,Biochemistry,,,,,,,,
95,,Literature Science & the Arts,40,40,0,0,0,0,0
96,Bioinformatics,,,,,,,,
97,,Rackham,12,0,5,0,0,0,7
98,Biological Chemistry,,,,,,,,
99,,Rackham,25,0,3,12,0,0,10
100,Biology,,,,,,,,
101,,Literature Science & the Arts,148,148,0,0,0,0,0
102,Biology,,,,,,,,
103,,Rackham,5,0,0,5,0,0,0
104,Biomaterials,,,,,,,,
105,,Rackham,1,0,1,0,0,0,0
106,Biomedical Engineering,,,,,,,,
107,,Engineering,43,43,0,0,0,0,0
108,,Rackham,114,0,68,18,0,0,28
109,,,,,,,,,
110,Biophysics,,,,,,,,
111,,Literature Science & the Arts,4,4,0,0,0,0,0
112,,Rackham,10,0,0,2,0,0,8
113,Biopsychology and Cognitive Science,,,,,,,,
114,,Literature Science & the Arts,134,134,0,0,0,0,0
115,Biostatistics,,0,,,,,,
116,,Rackham,38,0,20,7,0,0,11
117,"Brain, Behavior, and Cognitive Sciences",,,,,,,,
118,,Literature Science & the Arts,89,89,0,0,0,0,0
119,Business Administration,,,,,,,,
120,,Business Administration,1085,337,748,0,0,0,0
121,,Rackham,31,0,1,17,0,0,13
122,Cell and Developmental Biology,,,,,,,,
123,,Rackham,15,0,7,1,0,0,7
124,Cellular and Molecular Biology,,,,,,,,
125,,Literature Science & the Arts,111,111,0,0,0,0,0
126,,Rackham,8,0,0,6,0,0,2
127,Chamber Music (Strings),,,,,,,,
128,,Music,3,0,3,0,0,0,0
129,Chamber Music (Winds),,,,,,,,
130,,Music,2,0,2,0,0,0,0
131,Chemical Engineering,,,,,,,,
132,,Engineering,65,65,0,0,0,0,0
133,Chemical Engineering,,,,,,,,
134,,Rackham,51,0,23,17,0,0,11
135,Chemistry,,,,,,,,
136,,Literature Science & the Arts,27,27,0,0,0,0,0
137,,Rackham,91,0,34,37,0,0,20
138,Chinese,,,,,,,,
139,,Literature Science & the Arts,1,1,0,0,0,0,0
140,Church Music,,,,,,,,
141,,Music,4,0,4,0,0,0,0
142,,,,,,,,,
143,,,,,,,,,
144,Civil Engineering,,,,,,,,
145,,Engineering,46,46,0,0,0,0,0
146,,Rackham,31,0,18,11,0,0,2
147,Classical Archaeology,,,,,,,,
148,,Literature Science & the Arts,12,12,0,0,0,0,0
149,Classical Art and Archaeology,,,,,,,,
150,,Rackham,13,0,3,6,0,0,4
151,Classical Civilization,,0,,,,,,
152,,Literature Science & the Arts,16,16,0,0,0,0,0
153,Classical Language and Literature,,,,,,,,
154,,Literature Science & the Arts,3,3,0,0,0,0,0
155,Classical Studies,,,,,,,,
156,,Rackham,9,0,1,2,0,0,6
157,Classical Studies-Latin,,,,,,,,
158,,Rackham,5,0,5,0,0,0,0
159,Clinical Research Des and Statistical Analysis,,,,,,,,
160,,Rackham,19,0,19,0,0,0,0
161,Collaborative Piano,,,,,,,,
162,,Music,4,0,4,0,0,0,0
163,Communication,,,,,,,,
164,,Literature Science & the Arts,159,159,0,0,0,0,0
165,,Rackham,2,0,0,2,0,0,0
166,Communication Studies,,,,,,,,
167,,Rackham,8,0,1,0,0,0,7
168,Community Health Nursing,,,,,,,,
169,,Rackham,34,0,33,0,0,0,1
170,Community Organization,,,,,,,,
171,,Social Work,61,0,61,0,0,0,0
172,Comparative Literature,,,,,,,,
173,,Literature Science & the Arts,12,12,0,0,0,0,0
174,,Rackham,8,0,0,4,0,0,4
175,Composition,,,,,,,,
176,,Music,6,2,4,0,0,0,0
177,,,,,,,,,
178,Computer Engineering,,,,,,,,
179,,Engineering,68,68,0,0,0,0,0
180,Computer Science,,,,,,,,
181,,Engineering,64,64,0,0,0,0,0
182,,Literature Science & the Arts,48,48,0,0,0,0,0
183,Computer Science and Engineering,,,,,,,,
184,,Rackham,121,0,54,20,0,0,47
185,Concurrent Marine Design,,,,,,,,
186,,Engineering,4,0,4,0,0,0,0
187,Conducting (Orchestral),,,,,,,,
188,,Music,2,0,2,0,0,0,0
189,Construction Engineering and Management,,,,,,,,
190,,Engineering,17,0,17,0,0,0,0
191,,Rackham,3,0,3,0,0,0,0
192,Creative Writing,,,,,,,,
193,,Rackham,18,0,18,0,0,0,0
194,Creative Writing - Literature,,,,,,,,
195,,Literature Science & the Arts,19,19,0,0,0,0,0
196,,LSA Residential College,2,2,0,0,0,0,0
197,Dance,,,,,,,,
198,,Music,14,14,0,0,0,0,0
199,,Rackham,6,0,6,0,0,0,0
200,Dental Hygiene,,,,,,,,
201,,Dental Hygiene,36,36,0,0,0,0,0
202,Dental Public Health,,,,,,,,
203,,Public Health,2,0,0,2,0,0,0
204,Dentistry,,,,,,,,
205,,Dentistry,99,0,0,0,99,0,0
206,Design,,,,,,,,
207,,Art and Design,1,1,0,0,0,0,0
208,Design & Production,,,,,,,,
209,,Music,5,5,0,0,0,0,0
210,Drama,,,,,,,,
211,,Literature Science & the Arts,4,4,0,0,0,0,0
212,Earth Sciences,,,,,,,,
213,,Literature Science & the Arts,1,1,0,0,0,0,0
214,Earth Systems Science and Engineering,,,,,,,,
215,,Engineering,3,3,0,0,0,0,0
216,Ecology and Evolutionary Biology,,,,,,,,
217,,Rackham,23,0,5,7,0,0,11
218,Economics,,,,,,,,
219,,Literature Science & the Arts,354,354,0,0,0,0,0
220,,Rackham,61,0,14,27,0,0,20
221,Education,,,,,,,,
222,,Rackham,208,0,142,34,0,0,32
223,Education and Psychology,,,,,,,,
224,,Rackham,8,0,0,3,0,0,5
225,Education-Secondary,,,,,,,,
226,,Education,54,54,0,0,0,0,0
227,Electrical Engineering,,,,,,,,
228,,Engineering,140,140,0,0,0,0,0
229,,Rackham,123,0,59,29,0,0,35
230,"Electrical Eng & Atmospheric, Oceanic & Space Sci",,,,,,,,
231,,Rackham,1,0,0,0,0,0,1
232,Electrical Engineering-Systems,,,,,,,,
233,,Rackham,89,0,62,15,0,0,12
234,Elementary Education,,,,,,,,
235,,Education,68,68,0,0,0,0,0
236,Engineering,,,,,,,,
237,,Engineering,11,11,0,0,0,0,0
238,Engineering Physics,,,,,,,,
239,,Engineering,8,8,0,0,0,0,0
240,English,,,,,,,,
241,,Literature Science & the Arts,368,368,0,0,0,0,0
242,,LSA Residential College,1,1,0,0,0,0,0
243,English & Women's Studies,,,,,,,,
244,,Rackham,1,0,0,1,0,0,0
245,,,,,,,,,
246,English and Education,,,,,,,,
247,,Rackham,6,0,0,2,0,0,4
248,English Language and Literature,,,,,,,,
249,,Rackham,32,0,10,7,0,0,15
250,Environment,,,,,,,,
251,,Literature Science & the Arts,52,52,0,0,0,0,0
252,,Natural Resources & Environment,6,6,0,0,0,0,0
253,Environmental Engineering,,,,,,,,
254,,Rackham,17,0,5,6,0,0,6
255,Environmental Geosciences,,,,,,,,
256,,Literature Science & the Arts,3,3,0,0,0,0,0
257,Environmental Health Sciences,,,,,,,,
258,,Public Health,21,0,21,0,0,0,0
259,,Rackham,7,0,5,2,0,0,0
260,Environmental Policy and Behavior,,,,,,,,
261,,Natural Resources & Environment,1,1,0,0,0,0,0
262,Epidemiological Science,,,,,,,,
263,,Rackham,35,0,2,17,0,0,16
264,Epidemiology,,,,,,,,
265,,Public Health,45,0,43,1,0,0,1
266,Fibers,,,,,,,,
267,,Art and Design,1,1,0,0,0,0,0
268,Film and Video Studies,,,,,,,,
269,,Literature Science & the Arts,65,65,0,0,0,0,0
270,Financial Engineering,,,,,,,,
271,,Rackham,36,0,36,0,0,0,0
272,French,,,,,,,,
273,,Literature Science & the Arts,34,34,0,0,0,0,0
274,General Biology,,,,,,,,
275,,Literature Science & the Arts,29,29,0,0,0,0,0
276,General Physics,,,,,,,,
277,,Literature Science & the Arts,9,9,0,0,0,0,0
278,,,,,,,,,
279,,,,,,,,,
280,General Studies,,,,,,,,
281,,Art and Design,10,10,0,0,0,0,0
282,,Literature Science & the Arts,117,117,0,0,0,0,0
283,Geological Science,,,,,,,,
284,,Literature Science & the Arts,6,6,0,0,0,0,0
285,Geology,,,,,,,,
286,,Rackham,25,0,8,9,0,0,8
287,German,,,,,,,,
288,,Literature Science & the Arts,44,44,0,0,0,0,0
289,Germanic Language and Literature,,,,,,,,
290,,Rackham,3,0,0,0,0,0,3
291,Gerontological Nursing,,,,,,,,
292,,Rackham,4,0,4,0,0,0,0
293,Graphic Design,,,,,,,,
294,,Art and Design,12,12,0,0,0,0,0
295,Greek and Roman History,,,,,,,,
296,,Rackham,1,0,0,0,0,0,1
297,Health Behavior and Health Education,,,,,,,,
298,,Public Health,63,0,63,0,0,0,0
299,,Rackham,21,0,0,6,0,0,15
300,Health Management and Policy,,,,,,,,
301,,Public Health,80,0,80,0,0,0,0
302,Health Policy,,,,,,,,
303,,Public Health,1,0,0,1,0,0,0
304,Health Service Management and Policy,,,,,,,,
305,,Public Health,1,0,1,0,0,0,0
306,Health Service Organizations and Policy,,,,,,,,
307,,Rackham,2,0,0,1,0,0,1
308,Health Services Research,,,,,,,,
309,,Rackham,1,0,1,0,0,0,0
310,Hebrew and Jewish Cultural Studies,,,,,,,,
311,,Literature Science & the Arts,6,6,0,0,0,0,0
312,,,,,,,,,
313,,,,,,,,,
314,History,,,,,,,,
315,,Literature Science & the Arts,251,251,0,0,0,0,0
316,,Rackham,41,0,7,15,0,0,19
317,History and Women's Studies,,,,,,,,
318,,Rackham,3,0,0,1,0,0,2
319,History of Art,,,,,,,,
320,,Literature Science & the Arts,50,50,0,0,0,0,0
321,,Rackham,12,0,1,8,0,0,3
322,Hospital and Molecular Epidemiology,,,,,,,,
323,,Public Health,17,0,17,0,0,0,0
324,Human Computer Interaction,,,,,,,,
325,,Rackham,28,0,28,0,0,0,0
326,Human Genetics,,,,,,,,
327,,Rackham,22,0,12,7,0,0,3
328,Human Nutrition,,,,,,,,
329,,Public Health,10,0,10,0,0,0,0
330,Immunology,,,,,,,,
331,,Rackham,4,0,0,3,0,0,1
332,Improvisation,,,,,,,,
333,,Music,3,0,3,0,0,0,0
334,Independent Interdependent Degree Program,,,,,,,,
335,,Rackham,13,0,1,7,0,0,5
336,Individualized Concentration,,,,,,,,
337,,Literature Science & the Arts,23,23,0,0,0,0,0
338,Industrial and Operations Engineering,,,,,,,,
339,,Engineering,184,184,0,0,0,0,0
340,,Rackham,96,0,72,7,0,0,17
341,Industrial Design,,,,,,,,
342,,Art and Design,7,7,0,0,0,0,0
343,Industrial Health,,,,,,,,
344,,Rackham,6,0,1,2,0,0,3
345,Information,,,,,,,,
346,,Rackham,22,0,9,6,0,0,7
347,,,,,,,,,
348,"Information Economics, Management and Policy",,,,,,,,
349,,Rackham,11,0,11,0,0,0,0
350,Integrated MicroSystems,,,,,,,,
351,,Engineering,1,0,1,0,0,0,0
352,International Tax,,,,,,,,
353,,Law,5,0,5,0,0,0,0
354,Interpersonal Practice,,,,,,,,
355,,Social Work,207,0,207,0,0,0,0
356,Italian,,,,,,,,
357,,Literature Science & the Arts,7,7,0,0,0,0,0
358,Jazz and Comtemporary Improvisation,,,,,,,,
359,,Music,1,1,0,0,0,0,0
360,Jazz Studies,,,,,,,,
361,,Music,8,8,0,0,0,0,0
362,Judaic Studies,,,,,,,,
363,,Literature Science & the Arts,5,5,0,0,0,0,0
364,,Rackham,4,0,4,0,0,0,0
365,Keyboard Instruments,,,,,,,,
366,,Music,1,0,1,0,0,0,0
367,Kinesiology,,,,,,,,
368,,Rackham,16,0,6,3,0,0,7
369,Landscape Architecture,,,,,,,,
370,,Rackham,17,0,14,0,0,0,3
371,Latin,,,,,,,,
372,,Literature Science & the Arts,3,3,0,0,0,0,0
373,Latin America and Caribbean Studies,,,,,,,,
374,,Literature Science & the Arts,12,12,0,0,0,0,0
375,Latino Studies,,,,,,,,
376,,Literature Science & the Arts,3,3,0,0,0,0,0
377,Law,,,,,,,,
378,,Law,454,0,30,3,421,0,0
379,Library and Information Services,,,,,,,,
380,,Rackham,29,0,29,0,0,0,0
381,,,,,,,,,
382,Linguistics,,,,,,,,
383,,Literature Science & the Arts,37,37,0,0,0,0,0
384,,Rackham,9,0,2,4,0,0,3
385,Linguistics and Germanic Languages and Literatures,,,,,,,,
386,,Rackham,1,0,0,1,0,0,0
387,Linguistics and Slavic Languages and Literatures,,,,,,,,
388,,Rackham,1,0,0,1,0,0,0
389,Macromolecular Science and Engineering,,,,,,,,
390,,Rackham,6,0,1,3,0,0,2
391,Management of Human Services,,,,,,,,
392,,Social Work,25,0,25,0,0,0,0
393,Manufacturing,,,,,,,,
394,,Engineering,39,0,33,5,0,0,1
395,Materials Science and Engineering,,,,,,,,
396,,Engineering,36,36,0,0,0,0,0
397,,Rackham,32,0,12,10,0,0,10
398,Mathematics,,,,,,,,
399,,Literature Science & the Arts,99,99,0,0,0,0,0
400,,Rackham,64,0,26,18,0,0,20
401,Mechanical Engineering,,,,,,,,
402,,Engineering,220,220,0,0,0,0,0
403,,Rackham,218,0,115,41,0,0,62
404,Media Arts,,,,,,,,
405,,Rackham,2,0,2,0,0,0,0
406,Medical Surgical Nursing,,,,,,,,
407,,Rackham,9,0,8,0,0,0,1
408,Medicinal Chemistry,,,,,,,,
409,,Rackham,6,0,0,3,0,0,3
410,Medicine,,,,,,,,
411,,Medical,169,0,0,0,169,0,0
412,Medieval & Early Modern Studies,,,,,,,,
413,,Literature Science & the Arts,3,3,0,0,0,0,0
414,Microbiology,,,,,,,,
415,,Literature Science & the Arts,4,4,0,0,0,0,0
416,Microbiology and Immunology,,,,,,,,
417,,Rackham,23,0,0,9,0,0,14
418,Middle Eastern & North African Studies,,,,,,,,
419,,Literature Science & the Arts,5,5,0,0,0,0,0
420,Modern Greek,,,,,,,,
421,,Literature Science & the Arts,1,1,0,0,0,0,0
422,,,,,,,,,
423,Modern Middle Eastern and North African Studies,,,,,,,,
424,,Rackham,4,0,4,0,0,0,0
425,Molecular and Integrative Physiology,,,,,,,,
426,,Rackham,11,0,0,4,0,0,7
427,"Molecular, Cellular and Developmental Biology",,,,,,,,
428,,Rackham,24,0,10,6,0,0,8
429,Movement Science,,,,,,,,
